V1,V2,V3,V4,V5,Target
4.0,5.0,1250.0,23.0,NEGATIVE,YES
4.0,9.0,2250.0,46.0,NEGATIVE,NO
4.0,5.0,1250.0,23.0,NEGATIVE,NO
4.0,8.0,2000.0,40.0,NEGATIVE,YES
2.0,12.0,3000.0,82.0,NEGATIVE,NO
11.0,24.0,6000.0,64.0,NEGATIVE,NO
2.0,7.0,1750.0,46.0,NEGATIVE,YES
4.0,11.0,2750.0,61.0,NEGATIVE,NO
1.0,7.0,1750.0,57.0,NEGATIVE,NO
2.0,11.0,2750.0,79.0,NEGATIVE,YES
2.0,3.0,750.0,16.0,NEGATIVE,YES
4.0,5.0,1250.0,26.0,NEGATIVE,YES
2.0,6.0,1500.0,41.0,NEGATIVE,YES
2.0,5.0,1250.0,33.0,NEGATIVE,YES
2.0,4.0,1000.0,26.0,NEGATIVE,NO
2.0,5.0,1250.0,34.0,NEGATIVE,NO
4.0,8.0,2000.0,46.0,NEGATIVE,YES
2.0,4.0,1000.0,26.0,NEGATIVE,NO
4.0,8.0,2000.0,48.0,NEGATIVE,YES
2.0,2.0,500.0,10.0,NEGATIVE,YES
4.0,5.0,1250.0,28.0,NEGATIVE,NO
2.0,12.0,3000.0,95.0,NEGATIVE,NO
2.0,2.0,500.0,10.0,NEGATIVE,NO
4.0,6.0,1500.0,35.0,NEGATIVE,NO
2.0,11.0,2750.0,88.0,NEGATIVE,NO
2.0,3.0,750.0,19.0,NEGATIVE,NO
2.0,5.0,1250.0,37.0,NEGATIVE,NO
2.0,12.0,3000.0,98.0,NEGATIVE,NO
9.0,5.0,1250.0,19.0,NEGATIVE,NO
2.0,2.0,500.0,11.0,NEGATIVE,NO
2.0,9.0,2250.0,74.0,NEGATIVE,NO
5.0,14.0,3500.0,86.0,NEGATIVE,NO
4.0,3.0,750.0,16.0,NEGATIVE,NO
4.0,3.0,750.0,16.0,NEGATIVE,NO
4.0,2.0,500.0,9.0,NEGATIVE,YES
4.0,3.0,750.0,16.0,NEGATIVE,YES
6.0,3.0,750.0,14.0,NEGATIVE,NO
2.0,2.0,500.0,11.0,NEGATIVE,NO
2.0,2.0,500.0,11.0,NEGATIVE,YES
2.0,2.0,500.0,11.0,NEGATIVE,NO
2.0,7.0,1750.0,58.0,NEGATIVE,YES
4.0,6.0,1500.0,39.0,NEGATIVE,NO
4.0,11.0,2750.0,78.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,YES
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,YES
2.0,1.0,250.0,2.0,NEGATIVE,YES
2.0,1.0,250.0,2.0,NEGATIVE,YES
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
2.0,1.0,250.0,2.0,NEGATIVE,NO
11.0,10.0,2500.0,35.0,NEGATIVE,NO
11.0,4.0,1000.0,16.0,NEGATIVE,YES
4.0,5.0,1250.0,33.0,NEGATIVE,YES
4.0,6.0,1500.0,41.0,NEGATIVE,YES
2.0,3.0,750.0,22.0,NEGATIVE,NO
4.0,4.0,1000.0,26.0,NEGATIVE,YES
10.0,4.0,1000.0,16.0,NEGATIVE,NO
2.0,4.0,1000.0,35.0,NEGATIVE,NO
4.0,12.0,3000.0,88.0,NEGATIVE,NO
13.0,8.0,2000.0,26.0,NEGATIVE,NO
11.0,9.0,2250.0,33.0,NEGATIVE,NO
4.0,5.0,1250.0,34.0,NEGATIVE,NO
4.0,4.0,1000.0,26.0,NEGATIVE,NO
8.0,15.0,3750.0,77.0,NEGATIVE,NO
4.0,5.0,1250.0,35.0,NEGATIVE,YES
4.0,7.0,1750.0,52.0,NEGATIVE,NO
4.0,7.0,1750.0,52.0,NEGATIVE,NO
2.0,4.0,1000.0,35.0,NEGATIVE,NO
11.0,11.0,2750.0,42.0,NEGATIVE,NO
2.0,2.0,500.0,14.0,NEGATIVE,NO
2.0,5.0,1250.0,47.0,NEGATIVE,YES
9.0,8.0,2000.0,38.0,NEGATIVE,YES
4.0,6.0,1500.0,47.0,NEGATIVE,NO
11.0,7.0,1750.0,29.0,NEGATIVE,NO
9.0,9.0,2250.0,45.0,NEGATIVE,NO
4.0,6.0,1500.0,52.0,NEGATIVE,NO
4.0,7.0,1750.0,58.0,NEGATIVE,NO
6.0,2.0,500.0,11.0,NEGATIVE,YES
4.0,7.0,1750.0,58.0,NEGATIVE,NO
11.0,9.0,2250.0,38.0,NEGATIVE,NO
11.0,6.0,1500.0,26.0,NEGATIVE,NO
2.0,2.0,500.0,16.0,NEGATIVE,NO
2.0,7.0,1750.0,76.0,NEGATIVE,NO
11.0,6.0,1500.0,27.0,NEGATIVE,NO
11.0,3.0,750.0,14.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,YES
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,YES
4.0,1.0,250.0,4.0,NEGATIVE,YES
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,YES
4.0,1.0,250.0,4.0,NEGATIVE,YES
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,3.0,750.0,24.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,NO
4.0,1.0,250.0,4.0,NEGATIVE,YES
4.0,1.0,250.0,4.0,NEGATIVE,NO
10.0,8.0,2000.0,39.0,NEGATIVE,NO
14.0,7.0,1750.0,26.0,NEGATIVE,NO
8.0,10.0,2500.0,63.0,NEGATIVE,NO
11.0,3.0,750.0,15.0,NEGATIVE,NO
4.0,2.0,500.0,14.0,NEGATIVE,NO
2.0,4.0,1000.0,43.0,NEGATIVE,NO
8.0,9.0,2250.0,58.0,NEGATIVE,NO
8.0,8.0,2000.0,52.0,NEGATIVE,YES
11.0,22.0,5500.0,98.0,NEGATIVE,NO
4.0,3.0,750.0,25.0,NEGATIVE,YES
11.0,17.0,4250.0,79.0,NEGATIVE,YES
9.0,2.0,500.0,11.0,NEGATIVE,NO
4.0,5.0,1250.0,46.0,NEGATIVE,NO
11.0,12.0,3000.0,58.0,NEGATIVE,NO
7.0,12.0,3000.0,86.0,NEGATIVE,NO
11.0,2.0,500.0,11.0,NEGATIVE,NO
11.0,2.0,500.0,11.0,NEGATIVE,NO
11.0,2.0,500.0,11.0,NEGATIVE,NO
2.0,6.0,1500.0,75.0,NEGATIVE,NO
11.0,8.0,2000.0,41.0,NEGATIVE,YES
11.0,3.0,750.0,16.0,NEGATIVE,YES
12.0,13.0,3250.0,59.0,NEGATIVE,NO
2.0,3.0,750.0,35.0,NEGATIVE,NO
16.0,8.0,2000.0,28.0,NEGATIVE,NO
11.0,7.0,1750.0,37.0,NEGATIVE,NO
4.0,3.0,750.0,28.0,NEGATIVE,NO
12.0,12.0,3000.0,58.0,NEGATIVE,NO
4.0,4.0,1000.0,41.0,NEGATIVE,NO
11.0,14.0,3500.0,73.0,NEGATIVE,YES
2.0,2.0,500.0,23.0,NEGATIVE,NO
2.0,3.0,750.0,38.0,NEGATIVE,YES
4.0,5.0,1250.0,58.0,NEGATIVE,NO
4.0,4.0,1000.0,43.0,NEGATIVE,YES
3.0,2.0,500.0,23.0,NEGATIVE,NO
11.0,8.0,2000.0,46.0,NEGATIVE,NO
4.0,7.0,1750.0,82.0,NEGATIVE,NO
13.0,4.0,1000.0,21.0,NEGATIVE,NO
16.0,11.0,2750.0,40.0,NEGATIVE,NO
16.0,7.0,1750.0,28.0,NEGATIVE,NO
7.0,2.0,500.0,16.0,NEGATIVE,NO
4.0,5.0,1250.0,58.0,NEGATIVE,NO
4.0,5.0,1250.0,58.0,NEGATIVE,NO
4.0,4.0,1000.0,46.0,NEGATIVE,NO
14.0,13.0,3250.0,57.0,NEGATIVE,NO
4.0,3.0,750.0,34.0,NEGATIVE,NO
14.0,18.0,4500.0,78.0,NEGATIVE,NO
11.0,8.0,2000.0,48.0,NEGATIVE,NO
14.0,16.0,4000.0,70.0,NEGATIVE,NO
14.0,4.0,1000.0,22.0,NEGATIVE,YES
14.0,5.0,1250.0,26.0,NEGATIVE,NO
8.0,2.0,500.0,16.0,NEGATIVE,NO
11.0,5.0,1250.0,33.0,NEGATIVE,NO
11.0,2.0,500.0,14.0,NEGATIVE,NO
4.0,2.0,500.0,23.0,NEGATIVE,NO
9.0,2.0,500.0,16.0,NEGATIVE,YES
14.0,5.0,1250.0,28.0,NEGATIVE,YES
14.0,3.0,750.0,19.0,NEGATIVE,YES
14.0,4.0,1000.0,23.0,NEGATIVE,YES
16.0,12.0,3000.0,50.0,NEGATIVE,NO
11.0,4.0,1000.0,28.0,NEGATIVE,NO
11.0,5.0,1250.0,35.0,NEGATIVE,NO
11.0,5.0,1250.0,35.0,NEGATIVE,NO
2.0,4.0,1000.0,70.0,NEGATIVE,NO
14.0,5.0,1250.0,28.0,NEGATIVE,NO
14.0,2.0,500.0,14.0,NEGATIVE,NO
14.0,2.0,500.0,14.0,NEGATIVE,NO
14.0,2.0,500.0,14.0,NEGATIVE,NO
14.0,2.0,500.0,14.0,NEGATIVE,NO
14.0,2.0,500.0,14.0,NEGATIVE,NO
14.0,2.0,500.0,14.0,NEGATIVE,NO
2.0,3.0,750.0,52.0,NEGATIVE,NO
14.0,6.0,1500.0,34.0,NEGATIVE,NO
11.0,5.0,1250.0,37.0,NEGATIVE,YES
4.0,5.0,1250.0,74.0,NEGATIVE,NO
11.0,3.0,750.0,23.0,NEGATIVE,NO
16.0,4.0,1000.0,23.0,NEGATIVE,NO
16.0,3.0,750.0,19.0,NEGATIVE,NO
11.0,5.0,1250.0,38.0,NEGATIVE,NO
11.0,2.0,500.0,16.0,NEGATIVE,NO
12.0,9.0,2250.0,60.0,NEGATIVE,NO
9.0,1.0,250.0,9.0,NEGATIVE,NO
9.0,1.0,250.0,9.0,NEGATIVE,NO
4.0,2.0,500.0,29.0,NEGATIVE,NO
11.0,2.0,500.0,17.0,NEGATIVE,NO
14.0,4.0,1000.0,26.0,NEGATIVE,NO
11.0,9.0,2250.0,72.0,NEGATIVE,YES
11.0,5.0,1250.0,41.0,NEGATIVE,NO
15.0,16.0,4000.0,82.0,NEGATIVE,NO
9.0,5.0,1250.0,51.0,NEGATIVE,YES
11.0,4.0,1000.0,34.0,NEGATIVE,NO
14.0,8.0,2000.0,50.0,NEGATIVE,YES
16.0,7.0,1750.0,38.0,NEGATIVE,NO
14.0,2.0,500.0,16.0,NEGATIVE,NO
2.0,2.0,500.0,41.0,NEGATIVE,NO
14.0,16.0,4000.0,98.0,NEGATIVE,NO
14.0,4.0,1000.0,28.0,NEGATIVE,YES
16.0,7.0,1750.0,39.0,NEGATIVE,NO
14.0,7.0,1750.0,47.0,NEGATIVE,NO
16.0,6.0,1500.0,35.0,NEGATIVE,NO
16.0,6.0,1500.0,35.0,NEGATIVE,YES
11.0,7.0,1750.0,62.0,NEGATIVE,YES
16.0,2.0,500.0,16.0,NEGATIVE,NO
16.0,3.0,750.0,21.0,NEGATIVE,YES
11.0,3.0,750.0,28.0,NEGATIVE,NO
11.0,7.0,1750.0,64.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,YES
9.0,3.0,750.0,34.0,NEGATIVE,NO
14.0,4.0,1000.0,30.0,NEGATIVE,NO
23.0,38.0,9500.0,98.0,NEGATIVE,NO
11.0,6.0,1500.0,58.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,1.0,250.0,11.0,NEGATIVE,NO
11.0,2.0,500.0,21.0,NEGATIVE,NO
11.0,5.0,1250.0,50.0,NEGATIVE,NO
11.0,2.0,500.0,21.0,NEGATIVE,NO
16.0,4.0,1000.0,28.0,NEGATIVE,NO
4.0,2.0,500.0,41.0,NEGATIVE,NO
16.0,6.0,1500.0,40.0,NEGATIVE,NO
14.0,3.0,750.0,26.0,NEGATIVE,NO
9.0,2.0,500.0,26.0,NEGATIVE,NO
21.0,16.0,4000.0,64.0,NEGATIVE,NO
14.0,6.0,1500.0,51.0,NEGATIVE,NO
11.0,2.0,500.0,24.0,NEGATIVE,NO
4.0,3.0,750.0,71.0,NEGATIVE,NO
21.0,13.0,3250.0,57.0,NEGATIVE,NO
11.0,6.0,1500.0,71.0,NEGATIVE,NO
14.0,2.0,500.0,21.0,NEGATIVE,YES
23.0,15.0,3750.0,57.0,NEGATIVE,NO
14.0,4.0,1000.0,38.0,NEGATIVE,NO
11.0,2.0,500.0,26.0,NEGATIVE,NO
16.0,5.0,1250.0,40.0,NEGATIVE,YES
4.0,2.0,500.0,51.0,NEGATIVE,YES
14.0,3.0,750.0,31.0,NEGATIVE,NO
4.0,2.0,500.0,52.0,NEGATIVE,NO
9.0,4.0,1000.0,65.0,NEGATIVE,NO
14.0,4.0,1000.0,40.0,NEGATIVE,NO
11.0,3.0,750.0,40.0,NEGATIVE,YES
14.0,5.0,1250.0,50.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,7.0,1750.0,72.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
14.0,1.0,250.0,14.0,NEGATIVE,NO
9.0,3.0,750.0,52.0,NEGATIVE,NO
14.0,7.0,1750.0,73.0,NEGATIVE,NO
11.0,4.0,1000.0,58.0,NEGATIVE,NO
11.0,4.0,1000.0,59.0,NEGATIVE,NO
4.0,2.0,500.0,59.0,NEGATIVE,NO
11.0,4.0,1000.0,61.0,NEGATIVE,NO
16.0,4.0,1000.0,40.0,NEGATIVE,NO
16.0,10.0,2500.0,89.0,NEGATIVE,NO
21.0,2.0,500.0,21.0,NEGATIVE,YES
21.0,3.0,750.0,26.0,NEGATIVE,NO
16.0,8.0,2000.0,76.0,NEGATIVE,NO
21.0,3.0,750.0,26.0,NEGATIVE,YES
18.0,2.0,500.0,23.0,NEGATIVE,NO
23.0,5.0,1250.0,33.0,NEGATIVE,NO
23.0,8.0,2000.0,46.0,NEGATIVE,NO
16.0,3.0,750.0,34.0,NEGATIVE,NO
14.0,5.0,1250.0,64.0,NEGATIVE,NO
14.0,3.0,750.0,41.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,4.0,1000.0,45.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,1.0,250.0,16.0,NEGATIVE,NO
16.0,2.0,500.0,26.0,NEGATIVE,NO
21.0,2.0,500.0,23.0,NEGATIVE,NO
16.0,2.0,500.0,27.0,NEGATIVE,NO
21.0,2.0,500.0,23.0,NEGATIVE,NO
21.0,2.0,500.0,23.0,NEGATIVE,NO
14.0,4.0,1000.0,57.0,NEGATIVE,NO
16.0,5.0,1250.0,60.0,NEGATIVE,NO
23.0,2.0,500.0,23.0,NEGATIVE,NO
14.0,5.0,1250.0,74.0,NEGATIVE,NO
23.0,3.0,750.0,28.0,NEGATIVE,NO
16.0,3.0,750.0,40.0,NEGATIVE,NO
9.0,2.0,500.0,52.0,NEGATIVE,NO
9.0,2.0,500.0,52.0,NEGATIVE,NO
16.0,7.0,1750.0,87.0,NEGATIVE,YES
14.0,4.0,1000.0,64.0,NEGATIVE,NO
14.0,2.0,500.0,35.0,NEGATIVE,NO
16.0,7.0,1750.0,93.0,NEGATIVE,NO
21.0,2.0,500.0,25.0,NEGATIVE,NO
14.0,3.0,750.0,52.0,NEGATIVE,NO
23.0,14.0,3500.0,93.0,NEGATIVE,NO
18.0,8.0,2000.0,95.0,NEGATIVE,NO
16.0,3.0,750.0,46.0,NEGATIVE,NO
11.0,3.0,750.0,76.0,NEGATIVE,NO
11.0,2.0,500.0,52.0,NEGATIVE,NO
11.0,3.0,750.0,76.0,NEGATIVE,NO
23.0,12.0,3000.0,86.0,NEGATIVE,NO
21.0,3.0,750.0,35.0,NEGATIVE,NO
23.0,2.0,500.0,26.0,NEGATIVE,NO
23.0,2.0,500.0,26.0,NEGATIVE,NO
23.0,8.0,2000.0,64.0,NEGATIVE,NO
16.0,3.0,750.0,50.0,NEGATIVE,NO
23.0,3.0,750.0,33.0,NEGATIVE,NO
21.0,3.0,750.0,38.0,NEGATIVE,NO
23.0,2.0,500.0,28.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,YES
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,1.0,250.0,21.0,NEGATIVE,NO
21.0,5.0,1250.0,60.0,NEGATIVE,NO
23.0,4.0,1000.0,45.0,NEGATIVE,NO
21.0,4.0,1000.0,52.0,NEGATIVE,NO
22.0,1.0,250.0,22.0,NEGATIVE,YES
11.0,2.0,500.0,70.0,NEGATIVE,NO
23.0,5.0,1250.0,58.0,NEGATIVE,NO
23.0,3.0,750.0,40.0,NEGATIVE,NO
23.0,3.0,750.0,41.0,NEGATIVE,NO
14.0,3.0,750.0,83.0,NEGATIVE,NO
21.0,2.0,500.0,35.0,NEGATIVE,NO
26.0,5.0,1250.0,49.0,NEGATIVE,YES
23.0,6.0,1500.0,70.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,1.0,250.0,23.0,NEGATIVE,NO
23.0,4.0,1000.0,53.0,NEGATIVE,NO
21.0,6.0,1500.0,86.0,NEGATIVE,NO
23.0,3.0,750.0,48.0,NEGATIVE,NO
21.0,2.0,500.0,41.0,NEGATIVE,NO
21.0,3.0,750.0,64.0,NEGATIVE,NO
16.0,2.0,500.0,70.0,NEGATIVE,NO
21.0,3.0,750.0,70.0,NEGATIVE,NO
23.0,4.0,1000.0,87.0,NEGATIVE,NO
23.0,3.0,750.0,89.0,NEGATIVE,NO
23.0,2.0,500.0,87.0,NEGATIVE,NO
35.0,3.0,750.0,64.0,NEGATIVE,NO
38.0,1.0,250.0,38.0,NEGATIVE,NO
38.0,1.0,250.0,38.0,NEGATIVE,NO
40.0,1.0,250.0,40.0,NEGATIVE,NO
74.0,1.0,250.0,74.0,NEGATIVE,NO
2.0,43.0,10750.0,86.0,NEGATIVE,YES
6.0,22.0,5500.0,28.0,NEGATIVE,YES
2.0,34.0,8500.0,77.0,NEGATIVE,YES
2.0,44.0,11000.0,98.0,NEGATIVE,NO
0.0,26.0,6500.0,76.0,NEGATIVE,YES
2.0,41.0,10250.0,98.0,NEGATIVE,YES
3.0,21.0,5250.0,42.0,NEGATIVE,YES
