Tier,FICO,Term,Amount,Previous_Rate,Competition_rate,Rate,Cost_Funds,Partner Bin,Car_Type_N,Car_Type_R,Car_Type_U,Accept
1,777,72,21584,5,5.99,4.52,1.12,1,0,1,0,1
3,655,48,25996,8,4.89,6.78,1.1,2,0,1,0,0
4,655,60,21400,0,4.39,7.89,1.315,3,1,0,0,0
1,759,48,28279.2,0,4.49,4.49,1.12,1,1,0,0,1
1,803,60,25000,0,4.99,4.85,1.38,1,1,0,0,0
1,772,60,22882.34,0,5.49,4.85,1.81,1,1,0,0,1
1,751,60,23200,7,4.95,4.95,1.12,2,0,1,0,1
3,672,60,30000,0,3.99,5.15,1.12,1,1,0,0,0
1,802,72,33000,0,4.99,4.95,1.12,1,1,0,0,0
1,789,60,25000,0,4.49,4.39,1.3,2,1,0,0,1
2,702,72,15500,6,5.49,6.44,1.12,1,0,1,0,0
1,793,36,13500,0,3.59,3.59,1.12,3,1,0,0,1
1,737,60,36000,0,4.49,4.09,1.3,3,1,0,0,0
2,705,48,13600,0,5.75,5.35,1.7888,1,0,0,1,1
3,688,72,70000,0,5.69,8.59,1.1,2,0,0,1,0
1,740,72,18550,6,6.09,5.52,1.11,1,0,1,0,1
3,683,36,16340,16,4.79,7.54,1.12,1,0,1,0,0
1,790,60,23165,0,4.25,4.25,1.11,3,1,0,0,0
1,780,60,37500,0,4.49,4.39,1.31,3,1,0,0,0
1,824,60,19000,0,3.99,3.99,1.1,1,1,0,0,0
4,665,36,45000,0,3.99,7.89,1.3363,3,1,0,0,0
2,678,48,9619.5,9,5.09,6.99,1.1,3,0,1,0,1
2,714,72,34125,0,5.39,6.89,1.1,1,0,0,1,0
3,693,36,15000,6,4.75,5.49,1.0913,2,0,1,0,0
1,720,36,16987.82,0,4.15,4.15,1.1,1,0,0,1,1
1,795,36,30000,0,3.99,3.99,1.31,1,1,0,0,0
3,693,48,5000,7,5.39,6.59,1.15,3,0,1,0,0
4,642,72,20663.99,0,5.09,11.15,2.1,3,1,0,0,0
3,689,72,23206,0,5.75,7.39,1.4338,1,1,0,0,0
4,661,72,14200,0,4.65,8.69,1.09,3,1,0,0,0
2,702,48,18000,0,3.99,4.35,1.1,3,1,0,0,0
1,785,60,31000,0,5.49,4.85,1.7888,1,1,0,0,0
1,749,36,25000,0,3.99,3.99,1.31,3,1,0,0,0
1,767,60,20535,3,5.39,5.39,1.41,1,0,1,0,0
3,686,60,13417,8,5.29,6.87,1.11,3,0,1,0,0
1,769,48,30000,0,4.19,4.19,1.12,1,1,0,0,0
4,645,36,7531,12,4.49,8.09,1.11,3,0,1,0,0
4,640,72,56000,10,5.99,8.53,1.1,3,0,1,0,1
1,699,60,26000,0,4.25,4.25,1.1188,1,1,0,0,0
1,756,60,47200,0,3.99,3.99,1.12,3,1,0,0,0
4,663,60,14000,9,4.89,8.43,1.1,2,0,1,0,0
2,702,36,5700,9,4.25,6.49,1.12,1,0,1,0,1
1,735,48,7039,13,5.09,5.09,1.0925,3,0,1,0,1
2,703,72,28800,0,5.75,5.95,1.815,3,1,0,0,0
1,755,60,22500,0,4.39,4.39,1.09,1,0,0,1,0
2,721,48,12085,6,4.95,4.88,1.12,3,0,1,0,1
4,656,60,24356,0,4.79,10.95,1.94,1,0,0,1,0
1,732,60,15000,0,5.05,5.05,1.28,3,0,0,1,1
3,690,36,14300,9,4.39,7.54,1.11,3,0,1,0,0
1,731,60,14975.29,11,5.49,5.39,1.54,3,0,1,0,1
2,720,36,16499.99,0,3.65,6.34,1.84,1,1,0,0,0
2,710,48,13728,9,4.95,6.49,1.17,1,0,1,0,0
2,722,60,31999,0,4.39,6.39,1.84,3,1,0,0,0
2,722,60,18013,0,4.99,4.89,1.38,1,1,0,0,1
4,666,60,17950,0,5.15,10.95,1.54,1,0,0,1,1
1,741,60,28729,7,5.39,5.39,1.285,3,0,1,0,1
3,676,60,27779.05,0,4.79,5.99,1.12,1,0,0,1,1
3,696,60,23997,0,4.49,5.15,1.3,3,1,0,0,0
1,734,60,18300,10,5.29,5.25,1.11,1,0,1,0,1
1,783,60,30000,0,4.85,4.85,1.1,3,0,0,1,0
4,646,60,35000,0,4.49,7.89,1.34,3,1,0,0,0
3,694,72,40137.16,0,4.99,5.99,1.3163,3,1,0,0,1
4,668,60,48000,4,5.09,8.69,1.09,2,0,1,0,0
4,669,36,17212,8,4.75,7.03,1.1,1,0,1,0,0
1,753,72,53375,0,5.39,5.29,1.3,2,1,0,0,0
1,770,60,35000,0,4.99,4.69,1.4188,2,1,0,0,0
4,668,60,50000,0,4.09,7.89,1.02,1,1,0,0,0
1,781,36,17500,0,3.99,3.99,1.31,1,1,0,0,0
1,733,72,17800,6,5.49,5.39,1.0438,1,0,1,0,0
1,733,36,8300,6,4.39,4.39,1.11,1,0,1,0,0
1,736,72,25000,0,5.65,5.65,1.84,2,0,0,1,0
1,785,60,23907,0,5.2,4.48,1.37,1,0,0,1,1
1,803,60,30000,0,4.39,4.39,1.84,3,1,0,0,0
1,749,60,35000,0,5.49,4.85,1.81,3,1,0,0,0
1,764,36,17500,0,3.89,3.89,1.31,3,1,0,0,0
3,681,60,24999.99,0,4.85,6.19,1.1,3,0,0,1,0
1,784,60,28103,0,4.49,4.49,1.32,1,1,0,0,0
2,721,60,20735,0,5.4,4.59,1.38,2,0,0,1,1
1,784,60,60000,0,4.49,4.34,1.3363,1,1,0,0,0
4,664,60,20000,0,4.99,7.89,1.3881,3,1,0,0,0
3,691,60,24145,0,4.49,6.19,1.1,1,0,0,1,1
2,700,60,34999.99,0,4.49,6.39,1.811,3,1,0,0,0
4,662,60,21757,7,5.49,6.99,1.65,3,0,1,0,0
4,663,60,13281.45,0,4.69,6.99,1.31,1,0,0,1,1
1,733,36,17500,0,4.5,4.49,1.38,1,1,0,0,0
1,758,60,11777.5,0,4.79,4.79,1.12,1,0,0,1,1
3,687,60,24975,0,4.49,5.15,1.3375,3,1,0,0,0
2,712,72,8500,6,5.99,4.99,1.12,3,0,1,0,0
4,656,60,13999,0,4.65,9.34,1.1,3,0,0,1,0
1,733,48,31500,0,4.49,4.49,1.76,1,1,0,0,0
1,736,60,25000,0,3.99,3.99,1.1,1,1,0,0,0
1,824,36,16000,0,4.65,4.65,1.6,3,0,0,1,0
1,755,36,10002,0,3.99,3.99,1.3375,1,1,0,0,0
1,777,60,50000,0,4.89,4.55,1.34,2,1,0,0,0
4,648,72,28430,0,5.39,7.89,1.31,1,1,0,0,0
3,689,48,20800,7,4.95,6.38,1.1175,2,0,1,0,0
3,684,72,20000,0,5.09,8.75,1.951,3,1,0,0,0
1,768,60,37500,0,4.99,4.89,1.83,1,1,0,0,0
1,645,48,33000,8,5.49,7.19,1.625,3,0,1,0,1
2,719,72,33000,0,5.19,7.34,1.1,3,1,0,0,0
2,705,72,9600,7,5.59,6.03,1.1,1,0,1,0,0
3,693,60,30000,0,4.95,8.24,1.16,2,0,0,1,0
1,782,66,21000,0,5.39,5.29,1.32,3,1,0,0,0
3,693,72,40000,0,4.99,6.29,1.1,2,1,0,0,0
4,661,48,15300,6,4.75,6.25,1.18,1,0,1,0,0
1,742,60,50000,0,4.09,4.09,1.0575,2,1,0,0,0
1,746,48,22370,0,4.25,4.25,1.17,1,1,0,0,0
2,729,60,19000,0,4.95,6.99,1.1,3,0,0,1,1
1,790,48,23000,0,4.89,4.55,1.3413,1,1,0,0,0
3,685,60,44000,0,4.25,5.49,1.12,2,1,0,0,0
3,683,60,30000,0,4.99,5.29,1.4338,1,1,0,0,0
1,735,60,6350,8,5.29,5.25,1.11,1,0,1,0,0
2,710,60,13826,7,4.75,6.44,1.2463,1,0,1,0,0
2,706,72,33400,6,6.09,5.43,1.11,3,0,1,0,0
1,744,36,16221,12,4.99,4.99,1.696,1,0,1,0,0
4,659,60,38600,5,5.39,10.65,1.3,2,0,1,0,0
1,761,36,9446,8,4.75,4.75,1.11,1,0,1,0,1
1,736,36,30000,0,3.75,3.75,1.11,1,1,0,0,0
4,667,72,15000,0,5.45,7.99,1.12,1,0,0,1,1
2,709,60,9000,0,4.69,4.35,1.31,1,0,0,1,1
3,699,60,25000,0,4.99,5.99,1.42,1,1,0,0,0
1,735,48,29300,7,5.29,5.25,1.11,1,0,1,0,1
1,745,60,45000,0,4.49,4.49,1.1194,3,1,0,0,0
1,820,60,28173,0,4.49,4.09,1.3206,1,1,0,0,0
2,722,60,20000,0,4.49,4.89,1.11,1,1,0,0,0
2,723,72,32000,0,5.65,5.44,1.34,2,1,0,0,0
1,747,60,15000,0,4.79,4.79,1.84,1,0,0,1,0
2,706,60,43245.17,0,4.49,4.64,1.32,3,0,0,1,1
3,694,60,27000,0,4.19,6.59,1.1,3,1,0,0,0
2,712,48,33000,0,4.89,4.85,1.34,1,1,0,0,0
3,680,60,16999.99,0,4.79,8.65,1.89,3,0,0,1,0
4,651,60,15000,0,5.49,7.89,1.78,1,1,0,0,0
1,804,60,45000,0,4.19,4.19,1.12,2,1,0,0,0
2,709,72,30000,0,5.69,7.84,1.11,2,0,0,1,0
1,704,60,16744.5,0,4.39,4.39,1.84,1,1,0,0,1
1,770,60,25000,0,4.49,4.09,1.34,1,1,0,0,0
1,807,48,22700,0,5.49,4.85,1.78,3,1,0,0,0
2,720,72,27814,10,5.59,6.94,1.32,1,0,1,0,0
2,729,60,28939.73,0,5.15,6.44,1.61,3,0,0,1,1
1,745,60,8400,6,5.39,5.03,1.3688,3,0,1,0,1
2,724,60,50000,0,4.49,4.89,1.11,3,1,0,0,0
4,669,48,20000,0,4.49,7.89,1.12,3,1,0,0,0
1,752,48,15800,5,4.75,4.75,1.1,1,0,1,0,0
1,795,60,32500,0,4.39,4.09,1.31,2,1,0,0,0
2,708,48,27000,0,4.89,4.85,1.36,1,1,0,0,0
2,712,48,11570.79,0,4.59,4.99,1.12,1,0,0,1,1
2,724,60,35000,0,4.59,6.39,1.525,2,1,0,0,0
4,648,48,15999.99,0,4.79,10.95,1.858,1,0,0,1,0
2,711,60,16463.41,0,5.75,5.14,1.81,1,0,0,1,1
1,780,60,23463,0,3.99,3.99,1.11,3,1,0,0,1
1,758,60,15000,5,5.19,4.43,1.15,2,0,1,0,0
2,714,72,39000,0,5.39,5.44,1.34,1,1,0,0,0
3,696,36,9599,9,4.25,7.54,1.12,1,0,1,0,1
1,675,60,16743.19,17,5.39,5.39,1.36,1,0,1,0,1
1,705,60,18500,0,4.39,4.85,1.09,1,0,0,1,0
2,721,48,28312,0,3.99,4.29,1.1,3,1,0,0,0
1,749,72,19999,0,5.19,5.19,1.696,3,1,0,0,0
3,686,60,38500,0,4.49,6.19,1.0975,3,0,0,1,0
3,718,60,35000,0,4.99,5.15,1.44,3,1,0,0,0
1,795,60,30000,0,4.89,4.85,1.38,2,1,0,0,0
1,762,48,27334,6,4.75,4.75,1.1,1,0,1,0,0
4,658,60,14000,0,5.05,10.65,1.42,3,0,0,1,0
1,749,48,17000,0,4.85,4.85,1.1,3,0,0,1,0
4,663,72,10000,0,5.59,8.39,1.1,3,0,0,1,0
2,722,60,43000,0,5.65,5.79,1.8388,1,1,0,0,0
1,764,60,23000,0,4.39,4.39,1.32,1,1,0,0,0
1,769,60,25000,0,4.39,4.39,2.07,3,1,0,0,0
1,752,72,22000,0,6.25,5.85,1.81,1,1,0,0,0
2,727,72,25000,0,5.75,5.14,1.4188,1,1,0,0,0
2,709,60,6405.14,0,4.55,4.99,1.12,1,0,0,1,1
1,754,60,23392,0,5.49,4.85,1.82,3,1,0,0,0
1,747,36,17900,6,4.25,4.25,1.12,2,0,1,0,1
2,700,60,39999,0,4.49,5.79,1.12,2,1,0,0,0
1,733,60,26300,7,5.09,5.09,1.11,1,0,1,0,1
1,752,48,10500,5,4.85,4.07,1.1,1,0,1,0,1
1,777,48,24800,0,4.29,4.09,1.32,1,1,0,0,0
4,650,60,17000,0,3.99,7.89,1.1,1,1,0,0,0
4,641,48,13500,14,4.89,8.69,1.09,3,0,1,0,1
3,683,60,16485.75,0,5.2,5.15,1.34,1,0,0,1,1
1,733,60,28500,5,4.75,4.75,1.14,1,0,1,0,0
2,718,36,30259,0,3.99,4.49,1.3181,3,1,0,0,0
1,766,60,26000,0,3.99,3.99,1.1,1,1,0,0,0
3,694,48,11908,0,4.39,6.19,1.09,3,0,0,1,0
1,736,60,21104.06,0,4.99,4.64,1.815,1,1,0,0,1
3,672,72,21700,0,4.75,5.99,1.1013,1,1,0,0,0
1,801,60,55000,0,4.25,4.25,1.12,2,1,0,0,0
1,749,60,30000,0,4.25,4.25,1.17,1,1,0,0,0
3,682,60,26198.8,0,5.4,6.14,1.38,1,0,0,1,1
2,721,60,15647.05,0,4.29,4.29,1.2625,3,1,0,0,1
4,650,72,25672,0,6.45,7.99,1.84,1,0,0,1,0
3,684,60,17500,0,4.89,5.29,1.42,3,1,0,0,0
4,647,60,32000,0,4.49,7.29,1.32,1,1,0,0,0
2,710,60,14977,5,4.75,5.49,1.1175,3,0,1,0,0
1,734,72,36357,0,6.25,6.14,1.8369,3,1,0,0,0
3,679,72,20000,0,5.15,8.49,2.11,1,1,0,0,0
3,686,48,20863,0,4.75,7.04,1.1,3,0,0,1,0
3,675,72,15864,0,5.59,6.79,1.1,3,0,0,1,0
3,679,60,20000,5,5.49,9.85,1.757,3,0,1,0,0
1,752,60,21552,7,5.39,5.39,1.3669,1,0,1,0,0
1,743,72,27000,0,5.65,5.39,1.375,1,1,0,0,0
2,713,60,27000,0,4.49,4.34,1.34,3,1,0,0,0
2,701,72,23000,0,4.99,5.19,1.12,3,1,0,0,0
4,669,48,6433,7,4.89,6.79,1.09,1,0,1,0,0
2,715,48,25416,10,5.09,6.59,1.1,2,0,1,0,0
1,718,66,37000,0,5.19,5.19,1.723,3,1,0,0,0
1,782,60,22000,0,3.99,3.99,1.12,1,1,0,0,0
4,649,60,11245,0,5.05,10.65,1.33,1,0,0,1,1
1,775,60,18500,0,4.65,4.65,1.0913,1,0,0,1,0
1,807,60,35000,0,4.39,4.39,1.32,3,1,0,0,0
2,713,36,22400,9,5.05,6.79,1.5138,1,0,1,0,0
1,788,60,32000,0,4.39,4.39,1.3163,2,1,0,0,0
3,670,60,19225,0,4.99,5.98,1.3813,1,1,0,0,0
4,659,60,35999,0,4.39,8.49,1.09,3,0,0,1,0
1,754,48,35000,0,4.49,4.49,1.12,1,1,0,0,0
2,703,60,13400,5,5.19,4.79,1.14,2,0,1,0,0
2,728,60,30342,12,5.49,7.09,1.84,2,0,1,0,0
1,705,36,7121,15,4.75,4.75,1.1,1,0,1,0,1
1,817,72,21758.84,4,6.29,4.75,1.757,2,0,1,0,1
3,684,72,35000,0,5.19,8.34,1.19,3,1,0,0,0
3,680,60,32000,0,5.49,6.14,1.78,3,1,0,0,0
2,707,36,10550,6,4.39,6.44,1.14,1,0,1,0,0
1,736,60,26000,4,5.39,4.65,1.125,3,0,1,0,0
2,708,48,20000,0,5.24,4.59,1.8,1,1,0,0,0
1,762,72,11120,0,5.69,5.69,1.1,3,0,0,1,1
2,717,60,7500,0,4.89,6.44,1.74,3,0,0,1,0
1,742,72,48000,0,5.19,4.99,1.12,1,1,0,0,0
1,770,48,23500,0,4.49,4.49,1.115,3,1,0,0,0
1,760,60,30000,0,4.09,4.09,1.12,3,1,0,0,0
1,795,60,11300,4,5.49,4.75,1.779,1,0,1,0,1
4,663,60,35000,0,4.19,7.89,1.12,1,1,0,0,0
1,755,60,19000,0,4.99,4.69,1.4213,1,1,0,0,0
2,723,60,30000,0,4.49,7.19,1.3631,3,1,0,0,0
1,729,48,19500,4,5.19,5.19,1.0913,2,0,1,0,0
3,689,48,15100,7,4.75,6.7,1.0438,3,0,1,0,0
1,734,48,13455.02,6,4.89,4.89,1.1,2,0,1,0,1
2,718,60,20403,0,4.49,4.35,1.32,3,1,0,0,0
1,817,60,28000,0,4.49,4.49,1.3613,1,1,0,0,0
2,729,60,22995,0,5.49,4.89,1.78,3,1,0,0,0
1,744,60,36000,0,4.99,4.99,1.1413,1,0,0,1,0
1,689,36,30000,0,2.99,2.99,1.61,3,1,0,0,0
2,716,48,7964.17,9,5.09,6.99,1.1,3,0,1,0,1
1,740,72,40000,0,6.25,6.69,1.84,3,1,0,0,0
1,791,48,33000,0,3.99,3.99,1.1,2,1,0,0,0
1,740,60,24878,0,5.05,5.05,1.3669,3,0,0,1,0
4,666,66,9999,0,5.69,10.84,1.15,3,0,0,1,0
3,685,36,11835,0,4.5,5.99,1.8325,3,1,0,0,0
4,650,72,21000,0,4.99,7.99,1.12,1,1,0,0,0
2,700,60,11400,0,5.75,5.35,1.82,3,0,0,1,1
1,737,36,17500,0,4.79,4.79,1.84,3,1,0,0,0
3,672,60,35000,0,4.49,5.49,1.11,1,1,0,0,0
2,725,60,27000,0,3.99,4.29,1.1006,1,1,0,0,0
1,745,72,50000,0,5.59,5.49,1.12,2,0,0,1,1
2,701,48,20750,0,4.79,6.44,1.84,2,0,0,1,0
1,742,60,20000,0,4.79,4.79,1.959,2,0,0,1,0
1,748,48,15000,0,4.89,4.89,1.74,3,0,0,1,0
1,786,60,31000,0,5.49,4.85,1.8113,1,1,0,0,0
4,647,72,36067,0,4.99,8.29,1.1188,3,1,0,0,0
3,694,60,31995,0,4.99,6.19,1.1413,2,0,0,1,0
1,780,60,30000,0,5.49,5.24,1.81,3,1,0,0,0
2,719,36,13300,6,4.25,5.03,1.12,2,0,1,0,0
3,681,72,27861,0,5.19,8.34,1.15,2,1,0,0,0
2,710,72,24600,0,5.05,4.89,1.1,3,0,0,1,1
4,665,60,32911,0,4.99,7.89,1.6525,3,1,0,0,0
4,664,66,27589,0,5.89,11.25,1.6,1,0,0,1,0
3,673,36,30000,0,4.75,6.14,1.8063,3,1,0,0,0
1,746,60,47000,0,4.39,4.39,1.32,3,1,0,0,0
3,670,60,13144,0,4.89,8.65,1.696,3,0,0,1,1
1,795,36,12800,4,4.99,4.75,1.67,3,0,1,0,0
1,734,48,17900,11,4.95,4.95,1.17,3,0,1,0,1
4,653,48,15684,0,4.79,10.95,2.09,3,0,0,1,0
4,661,60,25000,0,5.49,7.89,1.7775,3,1,0,0,0
2,705,60,48778,0,4.39,5.89,1.1,2,0,0,1,0
1,752,60,26000,0,4.29,4.29,1.3188,3,1,0,0,0
1,779,36,50000,0,3.79,3.79,1.18,2,1,0,0,0
1,783,60,38649,0,4.89,4.59,1.38,3,1,0,0,0
3,690,48,12741,9,5.39,8.27,1.3688,1,0,1,0,0
1,738,48,12519,0,4.65,4.45,1.1,3,0,0,1,1
1,800,60,28000,0,4.99,4.83,1.3788,1,1,0,0,0
2,721,60,24500,0,4.49,4.2,1.2838,1,1,0,0,0
3,673,36,12894,7,4.25,6.35,1.12,3,0,1,0,0
1,808,72,26500,0,4.75,4.69,1.035,3,1,0,0,0
1,744,60,42000,0,4.89,4.09,1.34,2,1,0,0,0
1,737,72,15966.41,0,6.2,5.39,1.42,1,0,0,1,1
1,741,72,17908,6,5.99,4.78,1.0938,3,0,1,0,1
1,787,60,5499.99,0,4.85,4.85,2.127,1,0,0,1,1
1,751,72,34273,0,4.99,4.95,1.12,1,1,0,0,0
4,661,60,15956.25,0,5.75,7.89,1.7975,3,0,0,1,1
2,727,60,45000,0,4.49,6.39,1.738,3,1,0,0,0
1,739,66,27256,0,5.19,5.15,1.1194,3,1,0,0,0
1,783,60,25000,0,5.49,5.24,1.81,1,1,0,0,0
2,718,60,38326,0,4.49,5.79,1.12,2,1,0,0,0
2,709,66,35000,0,4.99,5.19,1.12,1,1,0,0,0
2,715,72,47000,0,4.99,5.99,1.0944,3,1,0,0,0
3,676,60,13661.24,0,5.05,8.35,1.36,1,0,0,1,1
1,776,36,12721.09,0,3.59,3.59,1.12,3,1,0,0,1
2,719,48,20000,0,3.99,4.49,1.11,1,1,0,0,0
1,729,60,20000,0,5.05,5.05,1.285,3,0,0,1,0
2,708,60,35805,0,3.85,5.79,1.09,3,1,0,0,0
1,730,48,26485,0,4.99,4.69,1.79,1,1,0,0,0
3,673,66,27400,7,5.49,7.09,1.11,3,0,1,0,1
1,777,60,19498,6,4.75,4.75,1.12,3,0,1,0,0
1,804,48,23000,0,4.09,4.09,1.035,1,1,0,0,0
1,766,60,31500,0,4.89,4.55,1.34,1,1,0,0,0
1,654,60,30000,0,4.49,4.49,1.15,2,1,0,0,0
2,707,60,13727.84,0,4.09,4.89,1.12,1,1,0,0,1
1,765,60,30000,0,3.99,3.99,1.1106,3,1,0,0,0
3,695,60,23821.31,0,4.29,6.09,1.1,1,1,0,0,1
3,717,72,34000,6,6.29,6.39,1.833,2,0,1,0,0
2,714,60,30000,0,4.39,5.89,1.09,1,0,0,1,0
1,776,60,43000,0,4.99,4.64,1.38,1,1,0,0,0
3,686,60,30725,0,4.39,8.55,1.868,2,1,0,0,0
3,698,36,33290,0,3.89,5.15,1.2738,3,1,0,0,0
3,752,60,8300,6,5.49,5.49,1.96,2,0,1,0,0
1,777,48,40000,0,4.89,4.69,1.4175,1,1,0,0,0
3,688,72,55000,0,5.39,7.64,1.1,2,0,0,1,0
1,770,48,35000,0,3.99,3.99,1.0913,1,1,0,0,0
3,668,48,25999.99,0,4.39,7.89,1.1,3,1,0,0,0
1,783,60,11052,0,4.29,4.59,1.1125,3,0,0,1,1
4,659,60,39692,0,4.39,10.44,1.11,2,1,0,0,0
2,704,60,18000,0,5.49,5.79,1.84,1,1,0,0,0
